program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_newsunday	dandy808	POST	pyc00il-5y2we		2011-09-09	이시대 이시대를 앞서가다 분들 분들이 넘 좋다 rt sophie style 좋은 좋은일 하시네 하시네요 rt bobae dream 책선물 보배드림집 마포구 상수동 262-2 에서 이번주 토일요 토일요일 양일 무료 식사 드리다
sbs_newsunday	qbxlthsu654	POST	pyc06xa-_sdec		2011-09-09	저 루 루나 설다 수지 가 가다 나오다 런닝맨 보다 보셨 tagquestion 멤버 런닝맨 재방보는중 tagexclamation 19살 19살이 체육 좋아하다 tagexclamation tagsmile 좋아하는이유 tagquestion 나도 나다 나 싸우다 싸움 좀 조다 하는거가테 tagsmile
sbs_newsunday	nabislife	POST	pyc071y-ldkz		2011-09-08	우리 개교기념일 개교기념 10월 2일 2일인데 오다 8 ㅂ 8 일요일 좋다 좋다 짜증 좋을지경
sbs_newsunday	0620tjdgks	POST	pyc0f_y-y58qj		2011-09-09	지금 강호동과유재석 최고투톱mc 였는데 이젠 유재석 혼자 원톱mc 겠네 1박2 일도 일 망 tagcry 무한도전이나런닝맨봐야게따 에휴
sbs_newsunday	qaz5546	POST	pyc0jup-u89e		2011-09-09	아아아아아 강호동 은퇴 으아아아아 무도 무 다음 런닝맨 다음 좋아하다 1박2 일 그만두는거 tagquestion tagcry
sbs_newsunday	hart0822	POST	pyc0_l0-rg7y		2011-09-09	오늘 반테마 현장학습 수목원가서 보고 보다 보 밥먹고 런닝맨게임 tagsmile 잘버티 잘버티고 있다 남자애 세명 세명이 달려들다 ㄱ 아흑 tagcry
sbs_newsunday	lgo3061	POST	pyc3ixi-wqia		2011-09-09	런닝맨 감동돋네
sbs_newsunday	search_now	POST	pyc52zf-5y0f5		2011-09-05	400m계주 285 홍영기 78 고교생 장난 장 new 애정 81 로또457 회당첨번호 189 윤미래 105 윤 114 런닝맨 45 추석 48 윤종신 132 네이버 실시 급상승 검색어
sbs_newsunday	als06119	POST	pyc55yg-vqo0		2011-09-08	처음 구하라 구하라가 용준형 관심 표현 하다 그런데 구하라 구하라가 런닝맨 반말논란 버릇 없다 반말 너무하 너무하다 등 반응 나오다 나 구하라 구하라의 소속사측 큐브회사측 돈 주다 주
sbs_newsunday	parkmbg	POST	pyc5c0i-_5hk6		2011-09-09	런닝맨 보시 분 tagsmile 완전 댑가 재밌어 재밌어요 옛날 아이유 나오다
sbs_newsunday	skdud3377	POST	pyc5cfu-or0_		2011-09-09	지금 jyj 티저 티저를 보다 지효 언니 이렇게 이쁘다 되다 되 아니 아 사실 런닝맨 쌩얼 쌩얼로 나올때 나올때도 언니 이쁘다 tagsmile 방송 제 제대 메컵 메컵하니까 진짜 여신 열다 taglove 그리다 언닌 웃는게 디게 건강해보 이쁘당 tagsmile 친하다 싶다 언니 스타일 스타
sbs_newsunday	carmaster000	POST	pyc5fdq-ydfu8		2011-09-09	송지효동네누 송지효동네누나 동네누나 동네누 송지효 런닝맨 송지효개리 개다 유재석 쌍화점 개다 일요일이좋다 1981
sbs_newsunday	spastar7	POST	pyc5laz-5x8tg		2011-09-05	런닝맨 스파이 런닝맨 스파이 송지효 타이거jk 폭풍연기 미션 성공
sbs_newsunday	kr0214	POST	pyc5uw0-_qbs		2011-09-05	어제 런닝맨 jk타이거 jk타이거가 마지막 한선택 진짜 부럽다 감동 taglove 아내 윤미래 윤미래가 배신감들까봐 동반탈락 tagcry 저런남자 결혼해야
sbs_newsunday	spastar7	POST	pyc5xpq-5x8tg		2011-09-05	런닝맨 타이거jk 윤미래 런닝맨 타이거jk 윤미래 배신 키스 마무리
sbs_newsunday	2318zxc	POST	pyc5y2e-_mel3		2011-09-08	내일 내 친구 e마트 런닝맨 하기로 그리다 영구추방
sbs_newsunday	srx789	POST	pyc60uk-mg0_		2011-09-05	전 절다 이 귿 나잇 tagexclamation 알딸딸혀유 런닝맨 런닝맨도 보다 되구유 밤 공기 참 차다 좋네유 잘자유 성시경 돋네유
sbs_newsunday	alsemffp1999	POST	pyc61fh-yql93		2011-09-07	분량 tagexclamation 확보 tagexclamation 분량 tagexclamation 확보 tagexclamation 분량 tagexclamation 확보 tagexclamation 분량 tagexclamation 확보 tagexclamation 런닝맨 따라해봄 나도 나다 나 분량확보 tagsmile
sbs_newsunday	jujjsu	POST	pyc63_2-_uef1		2011-09-07	런닝맨 보다 보 사람 사다 미투해주세영 tagsmile
sbs_newsunday	rudtj0607	POST	pyc68xe-j2q_		2011-09-10	런닝맨 송지효 무엇 그녀 그녀를 빛나다 만드 만드나
sbs_newsunday	alsemffp1999	POST	pyc6bog-yql93		2011-09-07	tagsmile 이광수 완전웃기 태어나다 비행기 2번 타다 런닝맨 tagsmile 런닝맨땜시 타본거 tagsmile 방콕레이스 제주레이스 땜시 tagquestion tagsmile
sbs_newsunday	mi782536	POST	pyc6ske-_s7k0		2011-09-07	수지 런닝맨
sbs_newsunday	qeenari	POST	pycb0nr-2uor		2011-09-09	오늘 커피 마시나봐 마시나봐요 헤헤다 런닝맨 또 봄니 봄니다
sbs_newsunday	spastar7	POST	pycb6od-5x8tg		2011-09-09	런닝맨 트루개리쇼 개봉박두 런닝맨 트루개리쇼 개봉박두 스파이개리 어색
sbs_newsunday	imchoegun	POST	pycbf6u-_hcnp		2011-09-09	아 정겨운추석명절이다가온이시점 난감기가걸려버렸고 기운이 tagexclamation 어제좀기분이안좋았다 뭘그리속닥거리는지내얘기 휴 그래서빨리집에가고팠다 근데일이꼬 근데일이꼬여서 그래도결국에런닝맨덕분에다시기분좋게집에들어갔다 얼른감기가똑하고떨어졌으면좋겠다
sbs_newsunday	beijingplus	POST	pycdhud-ch92		2011-09-05	런닝맨 촬영 현재 베이징 진행 있는데 있는데요 런닝맨 촬영장면 보신분 계신가요오오오 때마침 제가 제 한국 있다
sbs_newsunday	gho6077	POST	pyce27q-yuo64		2011-09-10	1박2 일 강호동 은퇴 무한도전 유재석 런닝맨 송지효 뭐
sbs_newsunday	jeny0604	POST	pyceb1a-5so_r		2011-09-08	이마트 속 꼬마 꼬다 런닝맨 tagexclamation 런닝맨 헌터특집 1vs5 승자 런닝맨 런닝맨이냐 헌터 헌터이냐 tagquestion tagexclamation 마지막 1분 1분을 남다 남기다 한 하다 사람 살아나다 승자 런닝맨
sbs_newsunday	mikael_angel	POST	pycec1g-5fzyf		2011-09-10	어제 런닝맨 vod보면서 느낀건데 쌈디 쌈디랑 타이거jk 멋있다 tagcry 나도 나다 나 사람 사다 되고파 tagexclamation yo
sbs_newsunday	jjinhomme123	POST	pyceli1-_a7nv		2011-09-10	맞춤정장 jjin homme 압구정 런닝맨 힙합특집
sbs_newsunday	hyen7010	POST	pyckb43-ylbnx		2011-09-10	9월21 일 tagquestion 그때 평택항 소사벌축제가열려 꼭오세 꼭오세요 그리다 평택 구경도하 구경도 오다 또한가지 송북시장 런닝맨 촬영
sbs_newsunday	ksy06030	POST	pyckf7g-93c7		2011-09-08	런닝맨보고싶다
sbs_newsunday	serie2002	POST	pyckkds-8688		2011-09-06	런닝맨보는중 tagsmile
sbs_newsunday	miles9820	POST	pyckn0f-yc53h		2011-09-08	송지효동네누 송지효동네누나 동네누나 동네누 송지효 런닝맨 송지효개리 개다 유재석 쌍화점 개다 일요일이좋다 1981
